iter	Passed	Remaining
410	3858	835
411	3863	825
412	3870	815
413	3875	805
414	3881	794
415	3887	784
416	3894	775
417	3901	765
418	3908	755
419	3930	748
420	3945	740
421	3958	731
422	3968	722
423	3981	713
424	3991	704
425	4002	695
426	4008	685
427	4016	675
428	4023	665
429	4029	655
430	4036	646
431	4042	636
432	4049	626
433	4056	616
434	4063	607
435	4070	597
436	4078	587
437	4085	578
438	4091	568
439	4100	559
440	4106	549
441	4114	539
442	4120	530
443	4127	520
444	4133	510
445	4143	501
446	4149	492
447	4154	482
448	4162	472
449	4169	463
450	4176	453
451	4181	444
452	4187	434
453	4194	425
454	4201	415
455	4207	405
456	4213	396
457	4219	386
458	4226	377
459	4232	368
460	4238	358
461	4244	349
462	4250	339
463	4256	330
464	4262	320
465	4271	311
466	4281	302
467	4287	293
468	4293	283
469	4299	274
470	4305	265
471	4310	255
472	4316	246
473	4321	237
474	4327	227
475	4336	218
476	4341	209
477	4346	200
478	4354	190
479	4360	181
480	4366	172
481	4371	163
482	4377	154
483	4384	144
484	4390	135
485	4395	126
486	4400	117
487	4409	108
488	4415	99
489	4421	90
490	4426	81
491	4434	72
492	4439	63
493	4446	54
494	4453	44
495	4460	35
496	4471	26
497	4482	18
498	4492	9
499	4502	0
