Fecha,Día,Mes,Año,Semestre,Accesos,Vacaciones?
2024-08-27,27,8,2024,2,2635,0
2024-08-28,28,8,2024,2,2547,0
2024-08-29,29,8,2024,2,2383,0
2024-08-30,30,8,2024,2,1731,0
2024-08-31,31,8,2024,2,434,0
2024-09-01,1,9,2024,2,1,0
2024-09-02,2,9,2024,2,2863,0
2024-09-03,3,9,2024,2,3030,0
2024-09-04,4,9,2024,2,3089,0
2024-09-05,5,9,2024,2,2842,0
2024-09-06,6,9,2024,2,1494,0
2024-09-07,7,9,2024,2,271,0
2024-09-09,9,9,2024,2,3454,0
2024-09-10,10,9,2024,2,3204,0
2024-09-11,11,9,2024,2,2401,0
2024-09-12,12,9,2024,2,2892,0
2024-09-13,13,9,2024,2,1715,0
2024-09-14,14,9,2024,2,143,0
2024-09-16,16,9,2024,2,137,1
2024-09-17,17,9,2024,2,14,1
2024-09-23,23,9,2024,2,2258,0
2024-09-24,24,9,2024,2,3164,0
2024-09-25,25,9,2024,2,3302,0
2024-09-26,26,9,2024,2,3123,0
2024-09-27,27,9,2024,2,2304,0
2024-09-28,28,9,2024,2,592,0
2024-09-30,30,9,2024,2,2619,0
2024-10-01,1,10,2024,2,3133,0
2024-10-02,2,10,2024,2,3369,0
2024-10-03,3,10,2024,2,2960,0
2024-10-04,4,10,2024,2,2407,0
2024-10-05,5,10,2024,2,728,0
2024-10-06,6,10,2024,2,1,0
2024-10-07,7,10,2024,2,3051,0
2024-10-08,8,10,2024,2,3453,0
2024-10-09,9,10,2024,2,3266,0
2024-10-10,10,10,2024,2,3026,0
2024-10-11,11,10,2024,2,1699,0
2024-10-14,14,10,2024,2,2898,0
2024-10-15,15,10,2024,2,2837,0
2024-10-16,16,10,2024,2,2750,0
2024-10-17,17,10,2024,2,2767,0
2024-10-18,18,10,2024,2,2338,0
2024-10-19,19,10,2024,2,545,0
2024-10-20,20,10,2024,2,1,0
2024-10-21,21,10,2024,2,2568,0
2024-10-22,22,10,2024,2,2571,0
2024-10-23,23,10,2024,2,2744,0
2024-10-24,24,10,2024,2,2254,0
2024-10-25,25,10,2024,2,1380,0
2024-10-26,26,10,2024,2,281,0
2024-10-27,27,10,2024,2,2,0
2024-10-28,28,10,2024,2,2021,0
2024-10-29,29,10,2024,2,2253,0
2024-10-30,30,10,2024,2,1251,0
2024-11-04,4,11,2024,2,2394,0
2024-11-05,5,11,2024,2,2066,0
2024-11-06,6,11,2024,2,2517,0
2024-11-07,7,11,2024,2,2299,0
2024-11-08,8,11,2024,2,1740,0
2024-11-09,9,11,2024,2,332,0
2024-11-10,10,11,2024,2,5,0
2024-11-11,11,11,2024,2,2402,0
2024-11-12,12,11,2024,2,2727,0
2024-11-13,13,11,2024,2,2489,0
2024-11-14,14,11,2024,2,2306,0
2024-11-15,15,11,2024,2,1847,0
2024-11-16,16,11,2024,2,569,0
2024-11-17,17,11,2024,2,2,0
2024-11-18,18,11,2024,2,2769,0
2024-11-19,19,11,2024,2,3071,0
2024-11-20,20,11,2024,2,2824,0
2024-11-21,21,11,2024,2,2937,0
2024-11-22,22,11,2024,2,2210,0
2024-11-23,23,11,2024,2,136,0
2024-11-25,25,11,2024,2,3023,0
